Date,Close,GDP,Inflation,Interest Rate,VIX,Stock_Returns
2023-01-03,3830.949951171875,6.3,6.155075939,6.5,14.775,-0.0026684369807078445
2023-01-04,3827.050048828125,6.3,6.155075939,6.5,14.775,-0.0010179987714423744
2023-01-05,3829.800048828125,6.3,6.155075939,6.5,14.775,0.0007185691237150404
2023-01-06,3824.25,6.3,6.155075939,6.5,14.775,-0.001449174567174416
2023-01-09,3855.300048828125,6.3,6.155075939,6.5,14.775,0.008119251834510122
2023-01-10,3646.89990234375,6.3,6.155075939,6.5,14.775,-0.054055493436294566
2023-01-11,3635.800048828125,6.3,6.155075939,6.5,14.775,-0.0030436408491747446
2023-01-12,3647.199951171875,6.3,6.155075939,6.5,14.775,0.003135459098589477
2023-01-13,3721.14990234375,6.3,6.155075939,6.5,14.775,0.020275814916073998
2023-01-16,3619.800048828125,6.3,6.155075939,6.5,14.775,-0.027236165211132812
2023-01-17,3639.35009765625,6.3,6.155075939,6.5,14.775,0.005400864292063323
2023-01-18,3596.699951171875,6.3,6.155075939,6.5,14.775,-0.011719165603727433
2023-01-19,3463.550048828125,6.3,6.155075939,6.5,14.775,-0.03702001950437017
2023-01-20,3456.14990234375,6.3,6.155075939,6.5,14.775,-0.0021365784758556883
2023-01-23,3436.35009765625,6.3,6.155075939,6.5,14.775,-0.005728861666003837
2023-01-24,3442.0,6.3,6.155075939,6.5,14.775,0.0016441579534063333
2023-01-25,3388.949951171875,6.3,6.155075939,6.5,14.775,-0.015412565028508185
2023-01-27,2761.449951171875,6.3,6.155075939,6.5,14.775,-0.1851605981324731
2023-01-30,2892.85009765625,6.3,6.155075939,6.5,14.775,0.047583750858353424
2023-01-31,2973.89990234375,6.3,6.155075939,6.5,14.775,0.02801728466786635
2023-02-01,2135.35009765625,6.5,6.16,6.5,15.1675,-0.28196974754484283
2023-02-02,1565.25,6.5,6.16,6.5,15.1675,-0.26698202710739993
2023-02-03,1586.800048828125,6.5,6.16,6.5,15.1675,0.013767799922137058
2023-02-06,1572.699951171875,6.5,6.16,6.5,15.1675,-0.008885869184755313
2023-02-07,1802.949951171875,6.5,6.16,6.5,15.1675,0.1464042774519274
2023-02-08,2164.25,6.5,6.16,6.5,15.1675,0.20039383156104162
2023-02-09,1925.699951171875,6.5,6.16,6.5,15.1675,-0.11022296353384542
2023-02-10,1846.949951171875,6.5,6.16,6.5,15.1675,-0.04089422132044873
2023-02-13,1717.650024414062,6.5,6.16,6.5,15.1675,-0.07000727154288788
2023-02-14,1749.699951171875,6.5,6.16,6.5,15.1675,0.018659171718491407
2023-02-15,1779.099975585938,6.5,6.16,6.5,15.1675,0.016802894915995292
2023-02-16,1796.599975585938,6.5,6.16,6.5,15.1675,0.009836434287081808
2023-02-17,1722.699951171875,6.5,6.16,6.5,15.1675,-0.041133265845649025
2023-02-20,1621.449951171875,6.5,6.16,6.5,15.1675,-0.05877401919650849
2023-02-21,1571.099975585938,6.5,6.16,6.5,15.1675,-0.03105243892945786
2023-02-22,1404.849975585938,6.5,6.16,6.5,15.1675,-0.10581758168381195
2023-02-23,1382.650024414062,6.5,6.16,6.5,15.1675,-0.015802364350411602
2023-02-24,1315.650024414062,6.5,6.16,6.5,15.1675,-0.048457671006365666
2023-02-27,1193.5,6.5,6.16,6.5,15.1675,-0.09284385828097619
2023-02-28,1363.849975585938,6.5,6.16,6.5,15.1675,0.1427314416304466
2023-03-01,1564.300048828125,6.1,5.793650794,6.5,15.6625,0.14697369712975172
2023-03-02,1607.25,6.1,5.793650794,6.5,15.6625,0.02745633819039406
2023-03-03,1879.5,6.1,5.793650794,6.5,15.6625,0.1693887074195053
2023-03-06,1982.900024414062,6.1,5.793650794,6.5,15.6625,0.05501464454060234
2023-03-08,2039.650024414062,6.1,5.793650794,6.5,15.6625,0.028619698069129562
2023-03-09,1953.150024414062,6.1,5.793650794,6.5,15.6625,-0.04240923637124916
2023-03-10,1896.199951171875,6.1,5.793650794,6.5,15.6625,-0.02915806391230591
2023-03-13,1874.400024414062,6.1,5.793650794,6.5,15.6625,-0.011496639235930917
2023-03-14,1738.199951171875,6.1,5.793650794,6.5,15.6625,-0.07266329036928132
2023-03-15,1839.0,6.1,5.793650794,6.5,15.6625,0.05799105491872014
2023-03-16,1843.800048828125,6.1,5.793650794,6.5,15.6625,0.0026101407439504953
2023-03-17,1876.550048828125,6.1,5.793650794,6.5,15.6625,0.017762229706423494
2023-03-20,1804.949951171875,6.1,5.793650794,6.5,15.6625,-0.03815517614409647
2023-03-21,1824.25,6.1,5.793650794,6.5,15.6625,0.01069284431714812
2023-03-22,1815.400024414062,6.1,5.793650794,6.5,15.6625,-0.004851295373955344
2023-03-23,1794.0,6.1,5.793650794,6.5,15.6625,-0.011788048984393451
2023-03-24,1740.650024414062,6.1,5.793650794,6.5,15.6625,-0.02973800199885057
2023-03-27,1723.050048828125,6.1,5.793650794,6.5,15.6625,-0.010111151201610213
2023-03-28,1600.849975585938,6.1,5.793650794,6.5,15.6625,-0.07092079149140063
2023-03-29,1740.400024414062,6.1,5.793650794,6.5,15.6625,0.08717247147225415
2023-03-31,1750.449951171875,6.1,5.793650794,6.5,15.6625,0.005774492425209221
2023-04-03,1717.449951171875,5.8,5.090054816,6.5,15.99,-0.01885229564998847
2023-04-05,1698.0,5.8,5.090054816,6.5,15.99,-0.011324901292525946
2023-04-06,1754.050048828125,5.8,5.090054816,6.5,15.99,0.03300945160666968
2023-04-10,1797.25,5.8,5.090054816,6.5,15.99,0.024628687876230737
2023-04-11,1803.150024414062,5.8,5.090054816,6.5,15.99,0.0032828067403321004
2023-04-12,1847.25,5.8,5.090054816,6.5,15.99,0.02445718602935898
2023-04-13,1870.75,5.8,5.090054816,6.5,15.99,0.012721613208823923
2023-04-17,1878.75,5.8,5.090054816,6.5,15.99,0.004276359748763836
2023-04-18,1850.949951171875,5.8,5.090054816,6.5,15.99,-0.014797098511310725
2023-04-19,1853.849975585938,5.8,5.090054816,6.5,15.99,0.0015667762449367295
