Date,Close,GDP,Inflation,Interest Rate,VIX,Stock_Returns
2023-01-03,962.2999877929688,6.3,6.155075939,6.5,14.775,0.02198387079837172
2023-01-04,957.4500122070312,6.3,6.155075939,6.5,14.775,-0.005039983006817739
2023-01-05,949.5499877929688,6.3,6.155075939,6.5,14.775,-0.008251109001348289
2023-01-06,939.9000244140625,6.3,6.155075939,6.5,14.775,-0.010162670215325464
2023-01-09,958.75,6.3,6.155075939,6.5,14.775,0.020055298538468103
2023-01-10,952.1500244140625,6.3,6.155075939,6.5,14.775,-0.00688393802966103
2023-01-11,949.75,6.3,6.155075939,6.5,14.775,-0.002520636824579703
2023-01-12,935.5499877929688,6.3,6.155075939,6.5,14.775,-0.014951315827355871
2023-01-13,934.1500244140625,6.3,6.155075939,6.5,14.775,-0.0014964068164960986
2023-01-16,913.1500244140625,6.3,6.155075939,6.5,14.775,-0.022480329123977794
2023-01-17,917.7000122070312,6.3,6.155075939,6.5,14.775,0.004982738511000173
2023-01-18,924.0,6.3,6.155075939,6.5,14.775,0.006864975165269405
2023-01-19,928.7000122070312,6.3,6.155075939,6.5,14.775,0.0050865932976529304
2023-01-20,930.5499877929688,6.3,6.155075939,6.5,14.775,0.0019920055578992457
2023-01-23,932.7000122070312,6.3,6.155075939,6.5,14.775,0.0023104878214676994
2023-01-24,910.2000122070312,6.3,6.155075939,6.5,14.775,-0.024123512067678266
2023-01-25,892.3499755859375,6.3,6.155075939,6.5,14.775,-0.019611114460228785
2023-01-27,873.75,6.3,6.155075939,6.5,14.775,-0.02084381251170464
2023-01-30,871.8499755859375,6.3,6.155075939,6.5,14.775,-0.0021745629917739873
2023-01-31,871.5999755859375,6.3,6.155075939,6.5,14.775,-0.00028674658140814824
2023-02-01,857.25,6.5,6.16,6.5,15.1675,-0.016463946750676195
2023-02-02,868.4500122070312,6.5,6.16,6.5,15.1675,0.013065047777230943
2023-02-03,882.5999755859375,6.5,6.16,6.5,15.1675,0.016293353883370054
2023-02-06,882.6500244140625,6.5,6.16,6.5,15.1675,5.670612906127914e-05
2023-02-07,879.0999755859375,6.5,6.16,6.5,15.1675,-0.004022034475648084
2023-02-08,871.75,6.5,6.16,6.5,15.1675,-0.008360796030097206
2023-02-09,867.7000122070312,6.5,6.16,6.5,15.1675,-0.004645813355857453
2023-02-10,867.25,6.5,6.16,6.5,15.1675,-0.0005186264846148703
2023-02-13,859.0999755859375,6.5,6.16,6.5,15.1675,-0.009397549050518927
2023-02-14,870.75,6.5,6.16,6.5,15.1675,0.013560731864899367
2023-02-15,868.2999877929688,6.5,6.16,6.5,15.1675,-0.002813680398542906
2023-02-16,864.75,6.5,6.16,6.5,15.1675,-0.004088434691784437
2023-02-17,854.9000244140625,6.5,6.16,6.5,15.1675,-0.011390547078274027
2023-02-20,846.75,6.5,6.16,6.5,15.1675,-0.009533307031601046
2023-02-21,844.0499877929688,6.5,6.16,6.5,15.1675,-0.003188676949549718
