Date,Close,GDP,Inflation,Interest Rate,VIX,Stock_Returns
2023-01-03,1563.0,6.3,6.155075939,6.5,14.775,0.006763285024154575
2023-01-04,1547.849975585938,6.3,6.155075939,6.5,14.775,-0.009692913892554111
2023-01-05,1468.849975585938,6.3,6.155075939,6.5,14.775,-0.05103853813099335
2023-01-06,1430.349975585938,6.3,6.155075939,6.5,14.775,-0.026210981815649292
2023-01-09,1414.0,6.3,6.155075939,6.5,14.775,-0.011430751819491047
2023-01-10,1413.300048828125,6.3,6.155075939,6.5,14.775,-0.0004950149730374998
2023-01-11,1399.699951171875,6.3,6.155075939,6.5,14.775,-0.009622937229448847
2023-01-12,1387.800048828125,6.3,6.155075939,6.5,14.775,-0.008501752346127489
2023-01-13,1391.150024414062,6.3,6.155075939,6.5,14.775,0.0024138748148667677
2023-01-16,1383.900024414062,6.3,6.155075939,6.5,14.775,-0.005211515561057922
2023-01-17,1372.900024414062,6.3,6.155075939,6.5,14.775,-0.007948551055671382
2023-01-18,1367.300048828125,6.3,6.155075939,6.5,14.775,-0.004078939097059919
2023-01-19,1355.150024414062,6.3,6.155075939,6.5,14.775,-0.008886143479974518
2023-01-20,1333.199951171875,6.3,6.155075939,6.5,14.775,-0.01619752267036101
2023-01-23,1332.75,6.3,6.155075939,6.5,14.775,-0.00033749714097985883
2023-01-24,1332.699951171875,6.3,6.155075939,6.5,14.775,-3.755305055341829e-05
2023-01-25,1314.349975585938,6.3,6.155075939,6.5,14.775,-0.013769022479367177
2023-01-27,1314.199951171875,6.3,6.155075939,6.5,14.775,-0.00011414342971782787
2023-01-30,1343.849975585938,6.3,6.155075939,6.5,14.775,0.022561273410202087
2023-01-31,1342.449951171875,6.3,6.155075939,6.5,14.775,-0.0010418011232634639
2023-02-01,1268.300048828125,6.5,6.16,6.5,15.1675,-0.05523476110153813
2023-02-02,1271.900024414062,6.5,6.16,6.5,15.1675,0.002838425804101652
2023-02-03,1337.449951171875,6.5,6.16,6.5,15.1675,0.05153701195029892
2023-02-06,1343.050048828125,6.5,6.16,6.5,15.1675,0.004187145583536278
2023-02-07,1350.400024414062,6.5,6.16,6.5,15.1675,0.005472599917144105
2023-02-08,1368.900024414062,6.5,6.16,6.5,15.1675,0.013699644302085368
2023-02-09,1400.25,6.5,6.16,6.5,15.1675,0.02290158158142841
2023-02-10,1401.75,6.5,6.16,6.5,15.1675,0.0010712372790573355
2023-02-13,1388.550048828125,6.5,6.16,6.5,15.1675,-0.009416765594346344
