Date,Close,GDP,Inflation,Interest Rate,VIX,Stock_Returns
2023-01-03,6606.25,6.3,6.155075939,6.5,14.775,0.008010680907877266
2023-01-04,6571.0,6.3,6.155075939,6.5,14.775,-0.0053358561967833396
2023-01-05,6100.0498046875,6.3,6.155075939,6.5,14.775,-0.07167100826548467
2023-01-06,5980.39990234375,6.3,6.155075939,6.5,14.775,-0.01961457794193855
2023-01-09,5993.35009765625,6.3,6.155075939,6.5,14.775,0.002165439690316573
2023-01-10,5904.14990234375,6.3,6.155075939,6.5,14.775,-0.014883194517100296
2023-01-11,5895.75,6.3,6.155075939,6.5,14.775,-0.001422711564355028
2023-01-12,5898.39990234375,6.3,6.155075939,6.5,14.775,0.00044945975384802495
2023-01-13,5977.7998046875,6.3,6.155075939,6.5,14.775,0.013461261301086047
2023-01-16,6010.89990234375,6.3,6.155075939,6.5,14.775,0.005537170654375867
2023-01-17,5984.9501953125,6.3,6.155075939,6.5,14.775,-0.004317108495041078
2023-01-18,5998.64990234375,6.3,6.155075939,6.5,14.775,0.0022890260710908272
2023-01-19,6012.4501953125,6.3,6.155075939,6.5,14.775,0.0023005664930300096
2023-01-20,5860.39990234375,6.3,6.155075939,6.5,14.775,-0.025289239499612592
2023-01-23,5863.0,6.3,6.155075939,6.5,14.775,0.0004436723943037624
2023-01-24,5855.0498046875,6.3,6.155075939,6.5,14.775,-0.001355994424782514
2023-01-25,5795.89990234375,6.3,6.155075939,6.5,14.775,-0.010102373902335593
2023-01-27,5760.7001953125,6.3,6.155075939,6.5,14.775,-0.006073208237605376
2023-01-30,6021.7998046875,6.3,6.155075939,6.5,14.775,0.04532428359793106
2023-01-31,5886.39990234375,6.3,6.155075939,6.5,14.775,-0.022484955783211524
2023-02-01,5817.2001953125,6.5,6.16,6.5,15.1675,-0.011755862357176405
2023-02-02,5717.64990234375,6.5,6.16,6.5,15.1675,-0.0171130938641183
2023-02-03,6014.25,6.5,6.16,6.5,15.1675,0.05187447687810853
2023-02-06,6104.2001953125,6.5,6.16,6.5,15.1675,0.014956178295298717
2023-02-07,6160.5498046875,6.5,6.16,6.5,15.1675,0.009231284619117153
2023-02-08,6351.64990234375,6.5,6.16,6.5,15.1675,0.031019974468974088
2023-02-09,6455.0,6.5,6.16,6.5,15.1675,0.01627137818444835
2023-02-10,6435.5,6.5,6.16,6.5,15.1675,-0.003020914020139376
2023-02-13,6345.5,6.5,6.16,6.5,15.1675,-0.013984927356071819
2023-02-14,6458.7001953125,6.5,6.16,6.5,15.1675,0.01783944453746744
2023-02-15,6489.9501953125,6.5,6.16,6.5,15.1675,0.004838434832860061
2023-02-16,6437.2998046875,6.5,6.16,6.5,15.1675,-0.00811260318500251
2023-02-17,6416.7001953125,6.5,6.16,6.5,15.1675,-0.003200038836159158
2023-02-20,6367.39990234375,6.5,6.16,6.5,15.1675,-0.007683122394399056
2023-02-21,6379.25,6.5,6.16,6.5,15.1675,0.001861057549077172
2023-02-22,6198.64990234375,6.5,6.16,6.5,15.1675,-0.02831055338107924
2023-02-23,6202.35009765625,6.5,6.16,6.5,15.1675,0.00059693568289787
2023-02-24,6236.25,6.5,6.16,6.5,15.1675,0.0054656544390423445
2023-02-27,6194.5,6.5,6.16,6.5,15.1675,-0.006694728402485417
2023-02-28,6112.10009765625,6.5,6.16,6.5,15.1675,-0.013302107085922943
2023-03-01,6154.85009765625,6.1,5.793650794,6.5,15.6625,0.006994322625114124
2023-03-02,6083.0,6.1,5.793650794,6.5,15.6625,-0.011673736405637292
2023-03-03,6100.0498046875,6.1,5.793650794,6.5,15.6625,0.0028028612012986898
2023-03-06,6134.85009765625,6.1,5.793650794,6.5,15.6625,0.005704919481478443
2023-03-08,5996.85009765625,6.1,5.793650794,6.5,15.6625,-0.022494437158737002
2023-03-09,5901.2998046875,6.1,5.793650794,6.5,15.6625,-0.015933413610937808
2023-03-10,5874.14990234375,6.1,5.793650794,6.5,15.6625,-0.004600664809841448
2023-03-13,5833.5498046875,6.1,5.793650794,6.5,15.6625,-0.006911655019231078
2023-03-14,5731.5498046875,6.1,5.793650794,6.5,15.6625,-0.017485065425864477
2023-03-15,5718.75,6.1,5.793650794,6.5,15.6625,-0.002233218784390867
2023-03-16,5715.10009765625,6.1,5.793650794,6.5,15.6625,-0.0006382342896175119
