Date,Close,GDP,Inflation,Interest Rate,VIX,Stock_Returns
2023-01-03,100.3499984741211,6.3,6.155075939,6.5,14.775,0.0009974910136767434
2023-01-04,98.75,6.3,6.155075939,6.5,14.775,-0.015944180353263393
2023-01-05,99.94999694824219,6.3,6.155075939,6.5,14.775,0.012151867830300533
2023-01-06,98.94999694824219,6.3,6.155075939,6.5,14.775,-0.010005002806731778
2023-01-09,100.0,6.3,6.155075939,6.5,14.775,0.010611451077729983
2023-01-10,99.1500015258789,6.3,6.155075939,6.5,14.775,-0.008499984741210942
2023-01-11,100.1999969482422,6.3,6.155075939,6.5,14.775,0.01058996879681584
2023-01-12,99.4000015258789,6.3,6.155075939,6.5,14.775,-0.007983986494296325
2023-01-13,99.94999694824219,6.3,6.155075939,6.5,14.775,0.0055331530575488674
2023-01-16,102.0999984741211,6.3,6.155075939,6.5,14.775,0.02151077130089618
2023-01-17,102.9000015258789,6.3,6.155075939,6.5,14.775,0.00783548544283863
2023-01-18,102.6999969482422,6.3,6.155075939,6.5,14.775,-0.001943679054138836
2023-01-19,102.8499984741211,6.3,6.155075939,6.5,14.775,0.0014605796527382697
2023-01-20,101.8000030517578,6.3,6.155075939,6.5,14.775,-0.010208997938171982
2023-01-23,101.5500030517578,6.3,6.155075939,6.5,14.775,-0.0024557956041798557
2023-01-24,100.6500015258789,6.3,6.155075939,6.5,14.775,-0.00886264400622594
2023-01-25,99.1500015258789,6.3,6.155075939,6.5,14.775,-0.014903129431292905
2023-01-27,94.30000305175781,6.3,6.155075939,6.5,14.775,-0.04891576802301112
2023-01-30,88.94999694824219,6.3,6.155075939,6.5,14.775,-0.05673389109626226
2023-01-31,94.94999694824219,6.3,6.155075939,6.5,14.775,0.06745362794662313
2023-02-01,90.94999694824219,6.5,6.16,6.5,15.1675,-0.04212743684636899
2023-02-02,93.0999984741211,6.5,6.16,6.5,15.1675,0.023639379857290477
2023-02-03,93.8499984741211,6.5,6.16,6.5,15.1675,0.008055854052548383
2023-02-06,94.5,6.5,6.16,6.5,15.1675,0.006925962029270982
2023-02-07,94.44999694824219,6.5,6.16,6.5,15.1675,-0.0005291328228339554
2023-02-08,96.0999984741211,6.5,6.16,6.5,15.1675,0.0174695773339526
2023-02-09,95.80000305175781,6.5,6.16,6.5,15.1675,-0.0031217005944497167
2023-02-10,96.25,6.5,6.16,6.5,15.1675,0.004697254007383078
2023-02-13,94.6500015258789,6.5,6.16,6.5,15.1675,-0.0166233607700893
2023-02-14,94.5999984741211,6.5,6.16,6.5,15.1675,-0.000528294251998962
2023-02-15,94.6500015258789,6.5,6.16,6.5,15.1675,0.0005285734943376585
2023-02-16,97.75,6.5,6.16,6.5,15.1675,0.032752228464291155
2023-02-17,96.44999694824219,6.5,6.16,6.5,15.1675,-0.013299263956601637
2023-02-20,94.9000015258789,6.5,6.16,6.5,15.1675,-0.016070455898459568
2023-02-21,95.55000305175781,6.5,6.16,6.5,15.1675,0.006849331037172446
2023-02-22,95.0,6.5,6.16,6.5,15.1675,-0.005756180368302943
2023-02-23,95.4000015258789,6.5,6.16,6.5,15.1675,0.004210542377672599
2023-02-24,95.3499984741211,6.5,6.16,6.5,15.1675,-0.0005241409953672393
2023-02-27,95.4000015258789,6.5,6.16,6.5,15.1675,0.0005244158632198292
2023-02-28,94.5999984741211,6.5,6.16,6.5,15.1675,-0.008385776089749775
2023-03-01,97.05000305175781,6.1,5.793650794,6.5,15.6625,0.025898568891699725
2023-03-02,96.69999694824219,6.1,5.793650794,6.5,15.6625,-0.0036064512365751034
2023-03-03,95.8499984741211,6.1,5.793650794,6.5,15.6625,-0.008790056886724074
2023-03-06,96.44999694824219,6.1,5.793650794,6.5,15.6625,0.006259765087874181
2023-03-08,96.0999984741211,6.1,5.793650794,6.5,15.6625,-0.0036288075188734004
2023-03-09,95.44999694824219,6.1,5.793650794,6.5,15.6625,-0.006763803706552052
2023-03-10,94.9000015258789,6.1,5.793650794,6.5,15.6625,-0.005762131377138879
2023-03-13,92.3499984741211,6.1,5.793650794,6.5,15.6625,-0.02687042160966069
2023-03-14,92.75,6.1,5.793650794,6.5,15.6625,0.004331364726454234
2023-03-15,92.5999984741211,6.1,5.793650794,6.5,15.6625,-0.0016172671253790183
2023-03-16,91.9000015258789,6.1,5.793650794,6.5,15.6625,-0.0075593624165967155
2023-03-17,93.4000015258789,6.1,5.793650794,6.5,15.6625,0.016322088956414182
2023-03-20,92.6500015258789,6.1,5.793650794,6.5,15.6625,-0.008029978455537767
2023-03-21,93.0999984741211,6.1,5.793650794,6.5,15.6625,0.004856955648473438
2023-03-22,92.6500015258789,6.1,5.793650794,6.5,15.6625,-0.0048334796521749546
2023-03-23,92.0999984741211,6.1,5.793650794,6.5,15.6625,-0.005936352322716165
2023-03-24,91.55000305175781,6.1,5.793650794,6.5,15.6625,-0.005971720211459308
2023-03-27,91.75,6.1,5.793650794,6.5,15.6625,0.0021845651728609194
2023-03-28,90.30000305175781,6.1,5.793650794,6.5,15.6625,-0.015803781452230936
2023-03-29,91.55000305175781,6.1,5.793650794,6.5,15.6625,0.013842745933059675
2023-03-31,97.55000305175781,6.1,5.793650794,6.5,15.6625,0.06553795521566386
2023-04-03,96.5999984741211,5.8,5.090054816,6.5,15.99,-0.009738642213395599
2023-04-05,98.25,5.8,5.090054816,6.5,15.99,0.017080761407267886
2023-04-06,98.75,5.8,5.090054816,6.5,15.99,0.0050890585241729624
2023-04-10,99.9000015258789,5.8,5.090054816,6.5,15.99,0.011645585072191489
2023-04-11,100.0,5.8,5.090054816,6.5,15.99,0.0010009857116488607
2023-04-12,100.8000030517578,5.8,5.090054816,6.5,15.99,0.008000030517578027
2023-04-13,100.9000015258789,5.8,5.090054816,6.5,15.99,0.0009920483243415212
2023-04-17,101.4000015258789,5.8,5.090054816,6.5,15.99,0.0049554013125734375
2023-04-18,102.9499969482422,5.8,5.090054816,6.5,15.99,0.015285950680855809
2023-04-19,101.4000015258789,5.8,5.090054816,6.5,15.99,-0.015055808337153698
2023-04-20,102.8499984741211,5.8,5.090054816,6.5,15.99,0.01429977244992564
2023-04-21,102.8000030517578,5.8,5.090054816,6.5,15.99,-0.0004861003704912381
2023-04-24,101.8000030517578,5.8,5.090054816,6.5,15.99,-0.009727626170366155
2023-04-25,101.1500015258789,5.8,5.090054816,6.5,15.99,-0.006385083559854232
2023-04-26,101.6500015258789,5.8,5.090054816,6.5,15.99,0.004943153657511967
2023-04-27,101.4499969482422,5.8,5.090054816,6.5,15.99,-0.0019675806653656203
2023-04-28,103.3000030517578,5.8,5.090054816,6.5,15.99,0.018235644742891743
2023-05-02,104.3000030517578,5.9,4.418604651,6.5,16.0975,0.00968054182436906
2023-05-03,106.3499984741211,5.9,4.418604651,6.5,16.0975,0.01965479733827058
2023-05-04,107.25,5.9,4.418604651,6.5,16.0975,0.008462637882387103
2023-05-05,106.3000030517578,5.9,4.418604651,6.5,16.0975,-0.00885778040319074
2023-05-08,107.3000030517578,5.9,4.418604651,6.5,16.0975,0.009407337453349873
2023-05-09,107.5500030517578,5.9,4.418604651,6.5,16.0975,0.0023299160567535893
2023-05-10,108.0500030517578,5.9,4.418604651,6.5,16.0975,0.004649000332983544
2023-05-11,108.5999984741211,5.9,4.418604651,6.5,16.0975,0.005090193492172768
2023-05-12,107.3000030517578,5.9,4.418604651,6.5,16.0975,-0.01197049208682155
2023-05-15,107.6500015258789,5.9,4.418604651,6.5,16.0975,0.0032618682587761683
2023-05-16,108.4499969482422,5.9,4.418604651,6.5,16.0975,0.007431448314201727
2023-05-17,108.25,5.9,4.418604651,6.5,16.0975,-0.0018441397313976315
2023-05-18,107.8000030517578,5.9,4.418604651,6.5,16.0975,-0.0041570156881496345
2023-05-19,107.0,5.9,4.418604651,6.5,16.0975,-0.007421178377645221
2023-05-22,110.4499969482422,5.9,4.418604651,6.5,16.0975,0.032242962133104625
2023-05-23,107.9000015258789,5.9,4.418604651,6.5,16.0975,-0.02308732904318911
2023-05-24,108.8000030517578,5.9,4.418604651,6.5,16.0975,0.008341070557473795
2023-05-25,109.5999984741211,5.9,4.418604651,6.5,16.0975,0.0073528988963604824
2023-05-26,110.6999969482422,5.9,4.418604651,6.5,16.0975,0.01003648256784273
2023-05-29,111.4499969482422,5.9,4.418604651,6.5,16.0975,0.006775067937451418
2023-05-30,111.25,5.9,4.418604651,6.5,16.0975,-0.0017944993604179782
2023-05-31,112.1500015258789,5.9,4.418604651,6.5,16.0975,0.00808990135621479
2023-06-01,112.9000015258789,6.0,5.572755418,6.5,15.3025,0.0066874720445451175
2023-06-02,113.3000030517578,6.0,5.572755418,6.5,15.3025,0.003542971837668274
2023-06-05,115.6500015258789,6.0,5.572755418,6.5,15.3025,0.02074138050153085
2023-06-06,118.0500030517578,6.0,5.572755418,6.5,15.3025,0.020752282699640467
2023-06-07,118.0500030517578,6.0,5.572755418,6.5,15.3025,0.0
2023-06-08,117.5500030517578,6.0,5.572755418,6.5,15.3025,-0.004235493325491779
2023-06-09,120.3499984741211,6.0,5.572755418,6.5,15.3025,0.02381961165182145
2023-06-12,119.0999984741211,6.0,5.572755418,6.5,15.3025,-0.010386373210206412
2023-06-13,122.0999984741211,6.0,5.572755418,6.5,15.3025,0.025188917199288285
2023-06-14,121.4000015258789,6.0,5.572755418,6.5,15.3025,-0.005732980810729038
2023-06-15,121.9499969482422,6.0,5.572755418,6.5,15.3025,0.004530439995472646
2023-06-16,125.1999969482422,6.0,5.572755418,6.5,15.3025,0.026650267169578967
2023-06-19,124.8499984741211,6.0,5.572755418,6.5,15.3025,-0.0027955150371592463
2023-06-20,125.1500015258789,6.0,5.572755418,6.5,15.3025,0.002402907932914422
2023-06-21,122.8000030517578,6.0,5.572755418,6.5,15.3025,-0.01877745461821001
2023-06-22,123.4499969482422,6.0,5.572755418,6.5,15.3025,0.0052931097746833355
2023-06-23,120.0500030517578,6.0,5.572755418,6.5,15.3025,-0.027541466022959038
2023-06-26,121.4000015258789,6.0,5.572755418,6.5,15.3025,0.011245301456086487
2023-06-27,118.4000015258789,6.0,5.572755418,6.5,15.3025,-0.024711696559249985
2023-06-28,120.75,6.0,5.572755418,6.5,15.3025,0.019847959829691897
2023-06-30,125.75,6.0,5.572755418,6.5,15.3025,0.04140786749482395
