Date,Close,GDP,Inflation,Interest Rate,VIX,Stock_Returns
2023-01-03,817.5999755859375,6.3,6.155075939,6.5,14.775,0.005039920818607824
2023-01-04,811.7999877929688,6.3,6.155075939,6.5,14.775,-0.007093918745303518
2023-01-05,807.0999755859375,6.3,6.155075939,6.5,14.775,-0.0057896184746307755
2023-01-06,796.0,6.3,6.155075939,6.5,14.775,-0.013752912801018424
2023-01-09,819.4000244140625,6.3,6.155075939,6.5,14.775,0.029397015595555853
2023-01-10,792.8499755859375,6.3,6.155075939,6.5,14.775,-0.03240181600813408
2023-01-11,765.5499877929688,6.3,6.155075939,6.5,14.775,-0.03443272830120647
2023-01-12,756.9000244140625,6.3,6.155075939,6.5,14.775,-0.01129901837480729
2023-01-13,764.2999877929688,6.3,6.155075939,6.5,14.775,0.00977667213663369
2023-01-16,759.1500244140625,6.3,6.155075939,6.5,14.775,-0.006738144002563118
2023-01-17,765.7000122070312,6.3,6.155075939,6.5,14.775,0.00862805451139148
2023-01-18,776.5499877929688,6.3,6.155075939,6.5,14.775,0.014170008375295584
2023-01-19,772.0,6.3,6.155075939,6.5,14.775,-0.005859233615984283
2023-01-20,764.4500122070312,6.3,6.155075939,6.5,14.775,-0.00977977693389731
2023-01-23,772.7000122070312,6.3,6.155075939,6.5,14.775,0.010792072559697496
2023-01-24,775.6500244140625,6.3,6.155075939,6.5,14.775,0.003817797541642687
2023-01-25,776.5,6.3,6.155075939,6.5,14.775,0.0010958235791709292
2023-01-27,774.5,6.3,6.155075939,6.5,14.775,-0.0025756600128783447
2023-01-30,770.2000122070312,6.3,6.155075939,6.5,14.775,-0.00555195325108937
2023-01-31,770.2999877929688,6.3,6.155075939,6.5,14.775,0.00012980470572965253
2023-02-01,769.0999755859375,6.5,6.16,6.5,15.1675,-0.0015578504816927685
2023-02-02,777.75,6.5,6.16,6.5,15.1675,0.01124694407573279
2023-02-03,792.9000244140625,6.5,6.16,6.5,15.1675,0.01947929850731267
2023-02-06,789.25,6.5,6.16,6.5,15.1675,-0.004603385422720541
2023-02-07,785.9000244140625,6.5,6.16,6.5,15.1675,-0.004244505018609401
2023-02-08,775.0999755859375,6.5,6.16,6.5,15.1675,-0.013742268090877197
2023-02-09,766.6500244140625,6.5,6.16,6.5,15.1675,-0.010901756467592727
2023-02-10,771.9500122070312,6.5,6.16,6.5,15.1675,0.0069131776223700925
2023-02-13,768.5999755859375,6.5,6.16,6.5,15.1675,-0.004339706675456689
2023-02-14,775.2000122070312,6.5,6.16,6.5,15.1675,0.008587089293181638
2023-02-15,785.4000244140625,6.5,6.16,6.5,15.1675,0.013157910276589524
2023-02-16,784.4500122070312,6.5,6.16,6.5,15.1675,-0.0012095902438250539
2023-02-17,776.7999877929688,6.5,6.16,6.5,15.1675,-0.009752086551110262
2023-02-20,779.1500244140625,6.5,6.16,6.5,15.1675,0.003025278910946838
2023-02-21,779.0499877929688,6.5,6.16,6.5,15.1675,-0.00012839198865322032
2023-02-22,772.1500244140625,6.5,6.16,6.5,15.1675,-0.008856894277674887
2023-02-23,762.9500122070312,6.5,6.16,6.5,15.1675,-0.011914798829427697
2023-02-24,757.0999755859375,6.5,6.16,6.5,15.1675,-0.0076676538796702776
2023-02-27,752.9000244140625,6.5,6.16,6.5,15.1675,-0.0055474195050985164
2023-02-28,742.25,6.5,6.16,6.5,15.1675,-0.01414533678937091
2023-03-01,750.2000122070312,6.1,5.793650794,6.5,15.6625,0.010710693441605024
2023-03-02,740.0999755859375,6.1,5.793650794,6.5,15.6625,-0.01346312510896952
2023-03-03,764.4000244140625,6.1,5.793650794,6.5,15.6625,0.03283346794990316
2023-03-06,766.5999755859375,6.1,5.793650794,6.5,15.6625,0.002878010337010739
2023-03-08,766.5499877929688,6.1,5.793650794,6.5,15.6625,-6.520714135238581e-05
2023-03-09,773.4000244140625,6.1,5.793650794,6.5,15.6625,0.008936190372680342
2023-03-10,773.75,6.1,5.793650794,6.5,15.6625,0.0004525156127357377
2023-03-13,765.2999877929688,6.1,5.793650794,6.5,15.6625,-0.010920855841074273
2023-03-14,771.7999877929688,6.1,5.793650794,6.5,15.6625,0.008493401416018731
2023-03-15,756.6500244140625,6.1,5.793650794,6.5,15.6625,-0.01962939053967716
2023-03-16,745.9500122070312,6.1,5.793650794,6.5,15.6625,-0.014141296321660946
2023-03-17,757.25,6.1,5.793650794,6.5,15.6625,0.015148451783700168
2023-03-20,754.7999877929688,6.1,5.793650794,6.5,15.6625,-0.0032354073384367465
2023-03-21,756.9500122070312,6.1,5.793650794,6.5,15.6625,0.0028484690631078724
2023-03-22,756.7000122070312,6.1,5.793650794,6.5,15.6625,-0.00033027280001107773
2023-03-23,763.5499877929688,6.1,5.793650794,6.5,15.6625,0.00905243223924157
2023-03-24,762.4500122070312,6.1,5.793650794,6.5,15.6625,-0.0014406071685194588
2023-03-27,761.75,6.1,5.793650794,6.5,15.6625,-0.0009181089852762225
2023-03-28,748.4500122070312,6.1,5.793650794,6.5,15.6625,-0.017459780496184796
2023-03-29,743.5999755859375,6.1,5.793650794,6.5,15.6625,-0.006480107611718688
2023-03-31,749.0,6.1,5.793650794,6.5,15.6625,0.007262001871110035
2023-04-03,760.5499877929688,5.8,5.090054816,6.5,15.99,0.015420544449891604
2023-04-05,763.4500122070312,5.8,5.090054816,6.5,15.99,0.0038130622057834795
2023-04-06,765.9500122070312,5.8,5.090054816,6.5,15.99,0.0032746086319035417
2023-04-10,769.75,5.8,5.090054816,6.5,15.99,0.00496114332842601
2023-04-11,774.1500244140625,5.8,5.090054816,6.5,15.99,0.005716173321289375
2023-04-12,771.0999755859375,5.8,5.090054816,6.5,15.99,-0.003939867896320948
2023-04-13,767.0499877929688,5.8,5.090054816,6.5,15.99,-0.005252221399554946
2023-04-17,759.6500244140625,5.8,5.090054816,6.5,15.99,-0.009647302648681522
2023-04-18,759.75,5.8,5.090054816,6.5,15.99,0.00013160742805817804
2023-04-19,764.6500244140625,5.8,5.090054816,6.5,15.99,0.00644952209814087
2023-04-20,772.2999877929688,5.8,5.090054816,6.5,15.99,0.010004529045517518
2023-04-21,765.2000122070312,5.8,5.090054816,6.5,15.99,-0.009193287191713417
2023-04-24,760.25,5.8,5.090054816,6.5,15.99,-0.006468912869922905
2023-04-25,772.5999755859375,5.8,5.090054816,6.5,15.99,0.016244624249835526
2023-04-26,773.4500122070312,5.8,5.090054816,6.5,15.99,0.0011002286408940964
2023-04-27,786.5,5.8,5.090054816,6.5,15.99,0.016872438537728796
2023-04-28,799.2999877929688,5.8,5.090054816,6.5,15.99,0.01627461893575166
2023-05-02,790.2000122070312,5.9,4.418604651,6.5,16.0975,-0.011384931471179471
2023-05-03,779.2999877929688,5.9,4.418604651,6.5,16.0975,-0.01379400689151944
2023-05-04,789.0999755859375,5.9,4.418604651,6.5,16.0975,0.012575372701753684
2023-05-05,787.2999877929688,5.9,4.418604651,6.5,16.0975,-0.0022810643120755314
2023-05-08,793.75,5.9,4.418604651,6.5,16.0975,0.008192572471787507
2023-05-09,793.5999755859375,5.9,4.418604651,6.5,16.0975,-0.00018900713582681306
2023-05-10,796.0499877929688,5.9,4.418604651,6.5,16.0975,0.0030872130574630674
2023-05-11,788.5999755859375,5.9,4.418604651,6.5,16.0975,-0.009358724101844684
2023-05-12,791.9500122070312,5.9,4.418604651,6.5,16.0975,0.004248081061129394
2023-05-15,797.0499877929688,5.9,4.418604651,6.5,16.0975,0.006439769565410813
2023-05-16,787.3499755859375,5.9,4.418604651,6.5,16.0975,-0.012169891920945308
2023-05-17,792.25,5.9,4.418604651,6.5,16.0975,0.006223438834066064
2023-05-18,799.3499755859375,5.9,4.418604651,6.5,16.0975,0.008961786791969129
2023-05-19,805.75,5.9,4.418604651,6.5,16.0975,0.008006536072477033
2023-05-22,801.8499755859375,5.9,4.418604651,6.5,16.0975,-0.00484024128335403
2023-05-23,799.9500122070312,5.9,4.418604651,6.5,16.0975,-0.0023694748852712832
2023-05-24,801.4000244140625,5.9,4.418604651,6.5,16.0975,0.0018126285204129733
2023-05-25,822.7000122070312,5.9,4.418604651,6.5,16.0975,0.026578471604791876
2023-05-26,817.9500122070312,5.9,4.418604651,6.5,16.0975,-0.0057736719697588645
2023-05-29,821.25,5.9,4.418604651,6.5,16.0975,0.004034461450846516
2023-05-30,818.4500122070312,5.9,4.418604651,6.5,16.0975,-0.0034094219701293893
2023-05-31,849.9000244140625,5.9,4.418604651,6.5,16.0975,0.038426307945458094
2023-06-01,827.9500122070312,6.0,5.572755418,6.5,15.3025,-0.025826581452523256
2023-06-02,836.5,6.0,5.572755418,6.5,15.3025,0.010326695654218732
2023-06-05,834.5,6.0,5.572755418,6.5,15.3025,-0.002390914524805776
2023-06-06,829.4500122070312,6.0,5.572755418,6.5,15.3025,-0.00605151323303621
2023-06-07,844.25,6.0,5.572755418,6.5,15.3025,0.017843134095071544
2023-06-08,836.0,6.0,5.572755418,6.5,15.3025,-0.009771986970684043
2023-06-09,833.5,6.0,5.572755418,6.5,15.3025,-0.0029904306220095433
2023-06-12,836.3499755859375,6.0,5.572755418,6.5,15.3025,0.0034192868457558756
2023-06-13,834.3499755859375,6.0,5.572755418,6.5,15.3025,-0.0023913434069258166
2023-06-14,827.9500122070312,6.0,5.572755418,6.5,15.3025,-0.0076705981496694164
2023-06-15,829.7000122070312,6.0,5.572755418,6.5,15.3025,0.002113654175008861
2023-06-16,837.7999877929688,6.0,5.572755418,6.5,15.3025,0.009762535213650558
2023-06-19,828.1500244140625,6.0,5.572755418,6.5,15.3025,-0.01151821857186619
2023-06-20,831.2000122070312,6.0,5.572755418,6.5,15.3025,0.003682892837111984
2023-06-21,839.0,6.0,5.572755418,6.5,15.3025,0.009384008275286071
2023-06-22,842.7999877929688,6.0,5.572755418,6.5,15.3025,0.004529186880773306
2023-06-23,854.7999877929688,6.0,5.572755418,6.5,15.3025,0.0142382536471366
2023-06-26,851.9500122070312,6.0,5.572755418,6.5,15.3025,-0.003334084729336384
2023-06-27,864.9000244140625,6.0,5.572755418,6.5,15.3025,0.015200436670554707
2023-06-28,872.2000122070312,6.0,5.572755418,6.5,15.3025,0.0084402677614841
2023-06-30,878.75,6.0,5.572755418,6.5,15.3025,0.00750973137043931
2023-07-03,879.1500244140625,5.8,7.544264819,6.5,15.305,0.00045521981685636703
2023-07-04,865.1500244140625,5.8,7.544264819,6.5,15.305,-0.01592447205962455
2023-07-05,866.6500244140625,5.8,7.544264819,6.5,15.305,0.0017338033377689577
2023-07-06,869.6500244140625,5.8,7.544264819,6.5,15.305,0.0034616049333504595
2023-07-07,870.4500122070312,5.8,7.544264819,6.5,15.305,0.0009198962462029225
2023-07-10,885.4000244140625,5.8,7.544264819,6.5,15.305,0.017175038195617276
2023-07-11,891.9000244140625,5.8,7.544264819,6.5,15.305,0.007341314457610881
2023-07-12,889.9500122070312,5.8,7.544264819,6.5,15.305,-0.0021863573872108466
2023-07-13,885.0499877929688,5.8,7.544264819,6.5,15.305,-0.005505954656835899
2023-07-14,886.5,5.8,7.544264819,6.5,15.305,0.001638339333405403
2023-07-17,878.0999755859375,5.8,7.544264819,6.5,15.305,-0.009475492852862422
2023-07-18,875.4500122070312,5.8,7.544264819,6.5,15.305,-0.0030178378915658444
2023-07-19,870.75,5.8,7.544264819,6.5,15.305,-0.005368681411269116
2023-07-20,884.8499755859375,5.8,7.544264819,6.5,15.305,0.016192909085199547
2023-07-21,886.0,5.8,7.544264819,6.5,15.305,0.0012996829358569162
2023-07-24,888.1500244140625,5.8,7.544264819,6.5,15.305,0.0024266641242240983
2023-07-25,883.6500244140625,5.8,7.544264819,6.5,15.305,-0.0050667115648268535
2023-07-26,889.4000244140625,5.8,7.544264819,6.5,15.305,0.006507101048079278
2023-07-27,895.1500244140625,5.8,7.544264819,6.5,15.305,0.006465032428786044
2023-07-28,895.0999755859375,5.8,7.544264819,6.5,15.305,-5.591110625036144e-05
2023-07-31,889.9000244140625,5.8,7.544264819,6.5,15.305,-0.005809352378175481
2023-08-01,891.6500244140625,6.1,6.912442396,6.5,14.625,0.001966513037408024
2023-08-02,878.0999755859375,6.1,6.912442396,6.5,14.625,-0.015196600075269684
2023-08-03,871.7000122070312,6.1,6.912442396,6.5,14.625,-0.007288422226222835
2023-08-04,889.6500244140625,6.1,6.912442396,6.5,14.625,0.020591960486020966
2023-08-07,891.4000244140625,6.1,6.912442396,6.5,14.625,0.001967065646013566
2023-08-08,885.4000244140625,6.1,6.912442396,6.5,14.625,-0.006730984783115734
2023-08-09,883.7000122070312,6.1,6.912442396,6.5,14.625,-0.001920049875937413
2023-08-10,874.7999877929688,6.1,6.912442396,6.5,14.625,-0.010071318650131889
2023-08-11,870.5499877929688,6.1,6.912442396,6.5,14.625,-0.004858253382835853
2023-08-14,867.0499877929688,6.1,6.912442396,6.5,14.625,-0.00402044690032477
2023-08-16,856.9500122070312,6.1,6.912442396,6.5,14.625,-0.011648665853333906
2023-08-17,856.7000122070312,6.1,6.912442396,6.5,14.625,-0.0002917323022799678
2023-08-18,856.25,6.1,6.912442396,6.5,14.625,-0.0005252856316318999
2023-08-21,871.9500122070312,6.1,6.912442396,6.5,14.625,0.018335780679744618
2023-08-22,877.6500244140625,6.1,6.912442396,6.5,14.625,0.006537085987995628
2023-08-23,868.1500244140625,6.1,6.912442396,6.5,14.625,-0.010824360207068229
2023-08-24,869.4500122070312,6.1,6.912442396,6.5,14.625,0.0014974229757651614
2023-08-25,873.5,6.1,6.912442396,6.5,14.625,0.00465810309518333
2023-08-28,870.3499755859375,6.1,6.912442396,6.5,14.625,-0.003606209976030339
2023-08-29,855.2000122070312,6.1,6.912442396,6.5,14.625,-0.01740674878367976
2023-08-30,857.75,6.1,6.912442396,6.5,14.625,0.002981744336495007
2023-08-31,856.4000244140625,6.1,6.912442396,6.5,14.625,-0.0015738567017633542
2023-09-01,865.9500122070312,5.7,5.02,6.5,15.205,0.011151316581877513
2023-09-04,865.2999877929688,5.7,5.02,6.5,15.205,-0.0007506488883877172
2023-09-05,865.9000244140625,5.7,5.02,6.5,15.205,0.0006934434641843179
2023-09-06,880.2999877929688,5.7,5.02,6.5,15.205,0.016630053092619335
2023-09-07,875.2999877929688,5.7,5.02,6.5,15.205,-0.0056798819372196885
2023-09-08,885.8499755859375,5.7,5.02,6.5,15.205,0.012052996618416634
2023-09-11,890.7999877929688,5.7,5.02,6.5,15.205,0.005587867408086922
2023-09-12,890.4000244140625,5.7,5.02,6.5,15.205,-0.0004489934714718702
2023-09-13,915.1500244140625,5.7,5.02,6.5,15.205,0.027796495194715387
2023-09-14,914.9500122070312,5.7,5.02,6.5,15.205,-0.00021855674118498314
2023-09-15,936.1500244140625,5.7,5.02,6.5,15.205,0.023170678096274155
2023-09-18,920.2000122070312,5.7,5.02,6.5,15.205,-0.017037880458331878
2023-09-20,910.7000122070312,5.7,5.02,6.5,15.205,-0.01032384250595142
2023-09-21,917.9500122070312,5.7,5.02,6.5,15.205,0.007960909084024248
2023-09-22,911.4000244140625,5.7,5.02,6.5,15.205,-0.007135451501569912
2023-09-25,910.4000244140625,5.7,5.02,6.5,15.205,-0.001097213049388368
2023-09-26,912.7000122070312,5.7,5.02,6.5,15.205,0.0025263485624893445
2023-09-27,920.25,5.7,5.02,6.5,15.205,0.008272146041405026
2023-09-28,925.6500244140625,5.7,5.02,6.5,15.205,0.005867997189962004
2023-09-29,926.4000244140625,5.7,5.02,6.5,15.205,0.0008102414305826144
