Date,Close,GDP,Inflation,Interest Rate,VIX,Stock_Returns
2023-01-03,80.3499984741211,6.3,6.155075939,6.5,14.775,0.0024952831495281824
2023-01-04,79.19999694824219,6.3,6.155075939,6.5,14.775,-0.014312402585163642
2023-01-05,81.94999694824219,6.3,6.155075939,6.5,14.775,0.0347222235601492
2023-01-06,81.75,6.3,6.155075939,6.5,14.775,-0.002440475359242522
2023-01-09,81.44999694824219,6.3,6.155075939,6.5,14.775,-0.0036697621010129966
2023-01-10,79.8499984741211,6.3,6.155075939,6.5,14.775,-0.019643935347693375
2023-01-11,81.0,6.3,6.155075939,6.5,14.775,0.014402023141573572
2023-01-12,80.0,6.3,6.155075939,6.5,14.775,-0.012345679012345734
2023-01-13,80.69999694824219,6.3,6.155075939,6.5,14.775,0.008749961853027344
2023-01-16,79.75,6.3,6.155075939,6.5,14.775,-0.011771957672457867
2023-01-17,79.80000305175781,6.3,6.155075939,6.5,14.775,0.0006269975142045858
2023-01-18,80.9000015258789,6.3,6.155075939,6.5,14.775,0.013784441504440137
2023-01-19,80.0,6.3,6.155075939,6.5,14.775,-0.011124864139724466
2023-01-20,80.80000305175781,6.3,6.155075939,6.5,14.775,0.0100000381469727
2023-01-23,80.19999694824219,6.3,6.155075939,6.5,14.775,-0.007425817832349302
2023-01-24,78.55000305175781,6.3,6.155075939,6.5,14.775,-0.0205734907639612
2023-01-25,76.69999694824219,6.3,6.155075939,6.5,14.775,-0.02355195457212944
2023-01-27,73.25,6.3,6.155075939,6.5,14.775,-0.04498040528698166
2023-01-30,74.05000305175781,6.3,6.155075939,6.5,14.775,0.01092154336870732
2023-01-31,78.4000015258789,6.3,6.155075939,6.5,14.775,0.058744068802814686
2023-02-01,75.5999984741211,6.5,6.16,6.5,15.1675,-0.035714323944669335
2023-02-02,75.5999984741211,6.5,6.16,6.5,15.1675,0.0
2023-02-03,74.94999694824219,6.5,6.16,6.5,15.1675,-0.008597903955003483
2023-02-06,74.6500015258789,6.5,6.16,6.5,15.1675,-0.004002607532732072
2023-02-07,75.0999984741211,6.5,6.16,6.5,15.1675,0.006028090275205011
2023-02-08,76.0999984741211,6.5,6.16,6.5,15.1675,0.013315579498241803
2023-02-09,76.3499984741211,6.5,6.16,6.5,15.1675,0.0032851511828217994
2023-02-10,75.4000015258789,6.5,6.16,6.5,15.1675,-0.012442658378889027
2023-02-13,71.55000305175781,6.5,6.16,6.5,15.1675,-0.051060986687111565
2023-02-14,71.0,6.5,6.16,6.5,15.1675,-0.007686974539469316
2023-02-15,71.75,6.5,6.16,6.5,15.1675,0.010563380281690238
2023-02-16,72.94999694824219,6.5,6.16,6.5,15.1675,0.016724696142748297
2023-02-17,72.4000015258789,6.5,6.16,6.5,15.1675,-0.0075393481202404855
2023-02-20,71.6500015258789,6.5,6.16,6.5,15.1675,-0.010359115803774133
2023-02-21,70.75,6.5,6.16,6.5,15.1675,-0.012561081740575242
2023-02-22,68.80000305175781,6.5,6.16,6.5,15.1675,-0.027561794321444344
2023-02-23,68.94999694824219,6.5,6.16,6.5,15.1675,0.002180143747545049
