Date,Close,GDP,Inflation,Interest Rate,VIX,Stock_Returns
2023-01-03,602.3499755859375,6.3,6.155075939,6.5,14.775,0.009003727492470581
2023-01-04,591.875,6.3,6.155075939,6.5,14.775,-0.017390181805432836
2023-01-05,600.1500244140625,6.3,6.155075939,6.5,14.775,0.013981033856916625
2023-01-06,601.3250122070312,6.3,6.155075939,6.5,14.775,0.0019578234527539706
2023-01-09,602.875,6.3,6.155075939,6.5,14.775,0.002577620690148663
2023-01-10,608.625,6.3,6.155075939,6.5,14.775,0.009537632179141609
2023-01-11,624.6500244140625,6.3,6.155075939,6.5,14.775,0.026329881970116986
2023-01-12,624.0250244140625,6.3,6.155075939,6.5,14.775,-0.0010005602746694375
2023-01-13,621.4249877929688,6.3,6.155075939,6.5,14.775,-0.0041665582618823915
2023-01-16,619.3499755859375,6.3,6.155075939,6.5,14.775,-0.0033391193592018364
2023-01-17,619.5499877929688,6.3,6.155075939,6.5,14.775,0.00032293891162593624
2023-01-18,626.75,6.3,6.155075939,6.5,14.775,0.011621357999989534
2023-01-19,619.875,6.3,6.155075939,6.5,14.775,-0.010969285999202216
2023-01-20,608.25,6.3,6.155075939,6.5,14.775,-0.01875378100423475
2023-01-23,619.7999877929688,6.3,6.155075939,6.5,14.775,0.01898888252029396
2023-01-24,623.0250244140625,6.3,6.155075939,6.5,14.775,0.005203350572138055
2023-01-25,624.5499877929688,6.3,6.155075939,6.5,14.775,0.0024476759666924863
2023-01-27,617.5250244140625,6.3,6.155075939,6.5,14.775,-0.011248040214893007
2023-01-30,609.4749755859375,6.3,6.155075939,6.5,14.775,-0.013035988032652268
2023-01-31,614.4749755859375,6.3,6.155075939,6.5,14.775,0.00820378227209928
2023-02-01,633.4749755859375,6.5,6.16,6.5,15.1675,0.030920705895113754
2023-02-02,664.9249877929688,6.5,6.16,6.5,15.1675,0.04964681071725252
2023-02-03,679.125,6.5,6.16,6.5,15.1675,0.02135581075718651
2023-02-06,683.0499877929688,6.5,6.16,6.5,15.1675,0.005779477699935587
2023-02-07,685.75,6.5,6.16,6.5,15.1675,0.003952876444307307
2023-02-08,687.0999755859375,6.5,6.16,6.5,15.1675,0.001968611864290981
2023-02-09,684.25,6.5,6.16,6.5,15.1675,-0.004147832465729806
2023-02-10,688.3250122070312,6.5,6.16,6.5,15.1675,0.005955443488536716
2023-02-13,684.9249877929688,6.5,6.16,6.5,15.1675,-0.004939562494119976
2023-02-14,679.875,6.5,6.16,6.5,15.1675,-0.0073730523531362335
2023-02-15,692.2999877929688,6.5,6.16,6.5,15.1675,0.018275400320601154
2023-02-16,709.8250122070312,6.5,6.16,6.5,15.1675,0.025314205868949502
2023-02-17,709.0250244140625,6.5,6.16,6.5,15.1675,-0.0011270211379018624
2023-02-20,709.625,6.5,6.16,6.5,15.1675,0.0008461980399538938
2023-02-21,706.9000244140625,6.5,6.16,6.5,15.1675,-0.0038400219636252064
2023-02-22,725.7249755859375,6.5,6.16,6.5,15.1675,0.02663028790737232
2023-02-23,711.2000122070312,6.5,6.16,6.5,15.1675,-0.02001441850224195
2023-02-24,728.9500122070312,6.5,6.16,6.5,15.1675,0.024957817344402722
2023-02-27,714.3250122070312,6.5,6.16,6.5,15.1675,-0.020063104129349196
2023-02-28,718.1500244140625,6.5,6.16,6.5,15.1675,0.005354722488595476
2023-03-01,718.375,6.1,5.793650794,6.5,15.6625,0.0003132710134223782
2023-03-02,713.9749755859375,6.1,5.793650794,6.5,15.6625,-0.006124968733687175
2023-03-03,719.8499755859375,6.1,5.793650794,6.5,15.6625,0.00822857971342561
2023-03-06,740.7750244140625,6.1,5.793650794,6.5,15.6625,0.02906862476600436
2023-03-08,750.5750122070312,6.1,5.793650794,6.5,15.6625,0.013229371226062048
2023-03-09,756.8499755859375,6.1,5.793650794,6.5,15.6625,0.00836020820951
2023-03-10,758.75,6.1,5.793650794,6.5,15.6625,0.002510437306404878
2023-03-13,749.125,6.1,5.793650794,6.5,15.6625,-0.012685337726523915
2023-03-14,750.4500122070312,6.1,5.793650794,6.5,15.6625,0.0017687464802687014
2023-03-15,743.9000244140625,6.1,5.793650794,6.5,15.6625,-0.008728080067192723
2023-03-16,710.2999877929688,6.1,5.793650794,6.5,15.6625,-0.045167408950630206
2023-03-17,719.7750244140625,6.1,5.793650794,6.5,15.6625,0.01333948582842348
2023-03-20,723.2750244140625,6.1,5.793650794,6.5,15.6625,0.004862630518263966
2023-03-21,727.8250122070312,6.1,5.793650794,6.5,15.6625,0.006290812815850755
2023-03-22,715.7249755859375,6.1,5.793650794,6.5,15.6625,-0.016624925522141676
2023-03-23,726.9749755859375,6.1,5.793650794,6.5,15.6625,0.015718328106113733
2023-03-24,714.3499755859375,6.1,5.793650794,6.5,15.6625,-0.017366484987773267
2023-03-27,702.9249877929688,6.1,5.793650794,6.5,15.6625,-0.01599354403784714
2023-03-28,691.625,6.1,5.793650794,6.5,15.6625,-0.016075666663164512
2023-03-29,686.625,6.1,5.793650794,6.5,15.6625,-0.007229351165732867
2023-03-31,689.5750122070312,6.1,5.793650794,6.5,15.6625,0.0042963949856635875
2023-04-03,693.9249877929688,5.8,5.090054816,6.5,15.99,0.006308197815949157
2023-04-05,716.625,5.8,5.090054816,6.5,15.99,0.03271248709349517
2023-04-06,721.1500244140625,5.8,5.090054816,6.5,15.99,0.006314354668149225
2023-04-10,710.3250122070312,5.8,5.090054816,6.5,15.99,-0.015010763142976558
2023-04-11,710.8250122070312,5.8,5.090054816,6.5,15.99,0.0007039031308309074
2023-04-12,719.8499755859375,5.8,5.090054816,6.5,15.99,0.012696462876123027
2023-04-13,736.9249877929688,5.8,5.090054816,6.5,15.99,0.023720237252397913
2023-04-17,748.9249877929688,5.8,5.090054816,6.5,15.99,0.016283882618689738
2023-04-18,732.0750122070312,5.8,5.090054816,6.5,15.99,-0.022498882879570137
2023-04-19,734.3250122070312,5.8,5.090054816,6.5,15.99,0.0030734555373181927
2023-04-20,743.5250244140625,5.8,5.090054816,6.5,15.99,0.012528528994784516
2023-04-21,740.2249755859375,5.8,5.090054816,6.5,15.99,-0.004438382999584434
2023-04-24,757.875,5.8,5.090054816,6.5,15.99,0.02384413522401263
2023-04-25,740.375,5.8,5.090054816,6.5,15.99,-0.023090879102754425
2023-04-26,739.0,5.8,5.090054816,6.5,15.99,-0.0018571669761945353
2023-04-27,734.0499877929688,5.8,5.090054816,6.5,15.99,-0.006698257384345374
2023-04-28,740.0999755859375,5.8,5.090054816,6.5,15.99,0.008241928878929494
2023-05-02,732.5,5.9,4.418604651,6.5,16.0975,-0.01026884993465993
2023-05-03,719.125,5.9,4.418604651,6.5,16.0975,-0.018259385665528982
2023-05-04,718.4000244140625,5.9,4.418604651,6.5,16.0975,-0.001008135700938606
2023-05-05,718.7249755859375,5.9,4.418604651,6.5,16.0975,0.00045232622610225093
2023-05-08,713.2000122070312,5.9,4.418604651,6.5,16.0975,-0.007687173211703202
2023-05-09,703.2999877929688,5.9,4.418604651,6.5,16.0975,-0.013881133265023937
2023-05-10,705.0250244140625,5.9,4.418604651,6.5,16.0975,0.002452774990807427
2023-05-11,716.5750122070312,5.9,4.418604651,6.5,16.0975,0.016382379905688804
2023-05-12,708.375,5.9,4.418604651,6.5,16.0975,-0.011443340986417416
2023-05-15,713.9749755859375,5.9,4.418604651,6.5,16.0975,0.00790538286350806
2023-05-16,711.5499877929688,5.9,4.418604651,6.5,16.0975,-0.0033964604865578396
2023-05-17,704.1749877929688,5.9,4.418604651,6.5,16.0975,-0.010364696966512765
2023-05-18,715.5250244140625,5.9,4.418604651,6.5,16.0975,0.016118204732984198
2023-05-19,701.6500244140625,5.9,4.418604651,6.5,16.0975,-0.019391355335702132
2023-05-22,705.9249877929688,5.9,4.418604651,6.5,16.0975,0.006092728896398558
