Stock,Accuracy (R-squared %),R-squared,Mean Squared Error
ADANIENT.xlsx,-59.92543604567617,-0.5992543604567617,0.0025394683352268103
ADANIPORTS.xlsx,-25.02462841978219,-0.2502462841978219,0.0007235542680228587
AJANTPHARM.xlsx,-23.191899960287678,-0.23191899960287676,0.0005415169583876186
ASHOKLEY.xlsx,-15.867902397773115,-0.15867902397773115,0.00018826062118037126
ASIANPAINT.xlsx,-16.604848627391288,-0.1660484862739129,0.00010423318018148489
AUBANK.xlsx,-11.88383715688699,-0.1188383715688699,0.00020476738004088926
AXISBANK.xlsx,-2.547667585082225,-0.02547667585082225,0.00014547196345723472
BAJAJFINSV.xlsx,-18.123967289919097,-0.18123967289919096,0.00020892807309807928
BAJFINANCE.xlsx,-5.430688070867995,-0.05430688070867995,0.00020803327045568494
BANKBARODA.xlsx,-5.920164986106569,-0.059201649861065686,0.00037131425974495084
BEL.xlsx,-13.265461412421086,-0.13265461412421087,0.0003062522193148282
BHARTIARTL.xlsx,-13.150798484311421,-0.1315079848431142,0.00017418263711729915
BHEL.xlsx,-23.36139479061947,-0.23361394790619472,0.00046127385282909706
BLUESTARCO.xlsx,-5.913100490086243,-0.05913100490086243,0.00047411897033981934
